Naturaleza_Juridica,Seccion
Empresa Unipersonal,A
Empresa Unipersonal,A
Sociedad Anonima,A
Sociedad Anonima,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Sociedad Anonima,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Empresa Unipersonal,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Cooperativa Agropecuaria,A
Sociedad Responsabilidad,A
Sociedad Anonima,A
Empresa Unipersonal,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Sociedad Responsabilidad,A
Empresa Unipersonal,A
"Fundaciones, Corporaciones",A
Sociedad Anonima,A
Sociedad Anonima,A
Cooperativa Agropecuaria,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,Q
Sociedad Responsabilidad,A
Sociedad Anonima,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Empresa Unipersonal,Q
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,M
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,H
Empresa Unipersonal,J
Empresa Unipersonal,C
Empresa Unipersonal,Q
Empresa Unipersonal,N
Empresa Unipersonal,Q
Empresa Unipersonal,F
Empresa Unipersonal,J
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,Q
Empresa Unipersonal,G
Empresa Unipersonal,K
Empresa Unipersonal,L
Empresa Unipersonal,H
Empresa Unipersonal,C
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,H
Empresa Unipersonal,P
Empresa Unipersonal,N
Empresa Unipersonal,S
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,R
Empresa Unipersonal,M
Empresa Unipersonal,C
Empresa Unipersonal,C
Empresa Unipersonal,S
Empresa Unipersonal,M
Empresa Unipersonal,G
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,K
Empresa Unipersonal,Q
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,Q
Sociedad De Hecho,A
Empresa Unipersonal,I
Empresa Unipersonal,C
Empresa Unipersonal,M
Empresa Unipersonal,J
Empresa Unipersonal,M
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,R
Empresa Unipersonal,G
Empresa Unipersonal,M
Empresa Unipersonal,J
Empresa Unipersonal,S
Empresa Unipersonal,M
Empresa Unipersonal,M
Empresa Unipersonal,K
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,N
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,P
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,S
Empresa Unipersonal,K
Sociedad Responsabilidad,A
Empresa Unipersonal,F
Sociedad Responsabilidad,A
Empresa Unipersonal,G
Empresa Unipersonal,H
Sociedad Responsabilidad,A
Empresa Unipersonal,N
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,M
Empresa Unipersonal,M
Empresa Unipersonal,M
Empresa Unipersonal,M
Asociacion,A
Empresa Unipersonal,H
Sociedad Responsabilidad,A
Empresa Unipersonal,P
Empresa Unipersonal,G
Empresa Unipersonal,G
Sociedad Responsabilidad,A
Empresa Unipersonal,G
Empresa Unipersonal,Q
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Anonima,A
Empresa Unipersonal,C
Empresa Unipersonal,L
Sociedad Responsabilidad,A
Empresa Unipersonal,M
Sociedad De Hecho,A
Empresa Unipersonal,G
Empresa Unipersonal,M
Empresa Unipersonal,G
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Responsabilidad,A
Sociedad Anonima,A
Empresa Unipersonal,P
Empresa Unipersonal,F
Empresa Unipersonal,P
Empresa Unipersonal,G
Sociedad Responsabilidad,A
Empresa Unipersonal,F
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,L
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,K
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,I
Empresa Unipersonal,M
Empresa Unipersonal,R
Empresa Unipersonal,H
Empresa Unipersonal,C
Empresa Unipersonal,G
Sociedad Responsabilidad,A
Empresa Unipersonal,M
Empresa Unipersonal,C
Empresa Unipersonal,F
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,F
Empresa Unipersonal,H
Sociedad Responsabilidad,A
Empresa Unipersonal,C
Empresa Unipersonal,F
Empresa Unipersonal,L
Sociedad Responsabilidad,A
Empresa Unipersonal,M
Empresa Unipersonal,I
Empresa Unipersonal,I
Empresa Unipersonal,G
Empresa Unipersonal,J
Empresa Unipersonal,Q
Empresa Unipersonal,K
Empresa Unipersonal,R
Empresa Unipersonal,G
Empresa Unipersonal,G
Sociedad Responsabilidad,A
Empresa Unipersonal,M
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,H
Empresa Unipersonal,M
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,C
Empresa Unipersonal,M
Empresa Unipersonal,S
Empresa Unipersonal,P
Empresa Unipersonal,I
Empresa Unipersonal,I
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,I
Empresa Unipersonal,J
Sociedad Responsabilidad,A
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,H
Empresa Unipersonal,L
Empresa Unipersonal,G
Sociedad Anonima,A
Sociedad Anonima,A
Empresa Unipersonal,S
Empresa Unipersonal,C
Sociedad Anonima,J
Sociedad Anonima,G
Sociedad Responsabilidad,P
Sociedad Responsabilidad,E
Sociedad Responsabilidad,R
Sociedad Anonima,G
Sociedad Anonima,G
Sociedad Anonima,C
Sociedad Anonima,G
Sociedad Anonima,G
Sociedad Anonima,C
Sociedad Anonima,I
Sociedad Anonima,L
Sociedad Anonima,C
Sociedad Anonima,G
Sucursal De Empresa,G
Sociedad Anonima,C
Sociedad Anonima,G
Sociedad Anonima,J
Sociedad Responsabilidad,G
Sociedad Anonima,F
Sociedad Responsabilidad,S
Sociedad Anonima,N
Sociedad Anonima,G
Sociedad Anonima,N
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Sociedad De Hecho,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Sociedad De Hecho,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Sociedad De Hecho,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Sociedad Anonima,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Cooperativa Social,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Empresa Unipersonal,A
Sociedad Anonima,A
Empresa Unipersonal,A
Empresa Unipersonal,S
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,S
Sociedad Responsabilidad,A
Empresa Unipersonal,H
Empresa Unipersonal,H
Empresa Unipersonal,M
Empresa Unipersonal,Q
Empresa Unipersonal,M
Empresa Unipersonal,H
Empresa Unipersonal,N
Empresa Unipersonal,F
Empresa Unipersonal,A
Empresa Unipersonal,N
Empresa Unipersonal,M
Empresa Unipersonal,J
Empresa Unipersonal,G
Sociedad De Hecho,A
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,J
Empresa Unipersonal,M
Empresa Unipersonal,G
Empresa Unipersonal,R
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,I
Empresa Unipersonal,C
Sociedad Anonima,A
Sociedad De Hecho,A
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,S
Empresa Unipersonal,H
Sociedad De Hecho,A
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,M
Empresa Unipersonal,Q
Empresa Unipersonal,L
Sociedad Anonima,A
Empresa Unipersonal,J
Empresa Unipersonal,Q
Empresa Unipersonal,G
Empresa Unipersonal,I
Empresa Unipersonal,S
Empresa Unipersonal,K
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,H
Empresa Unipersonal,G
Sociedad De Hecho,A
Empresa Unipersonal,G
Asociacion,A
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,P
Sociedad Anonima,A
Empresa Unipersonal,C
Sociedad Responsabilidad,A
Empresa Unipersonal,P
Empresa Unipersonal,C
Empresa Unipersonal,P
Sociedad Responsabilidad,A
Empresa Unipersonal,G
Empresa Unipersonal,P
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,L
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,R
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,F
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,H
Empresa Unipersonal,N
Empresa Unipersonal,L
Sociedad Anonima,A
Empresa Unipersonal,P
Empresa Unipersonal,M
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,G
Sociedad Responsabilidad,A
Sociedad Anonima,A
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,F
Sociedad De Hecho,A
Sociedad Responsabilidad,A
Empresa Unipersonal,R
Empresa Unipersonal,F
Empresa Unipersonal,C
Empresa Unipersonal,F
Empresa Unipersonal,P
Empresa Unipersonal,Q
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,K
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,S
Sociedad Responsabilidad,A
Empresa Unipersonal,M
Empresa Unipersonal,J
Empresa Unipersonal,N
Empresa Unipersonal,I
Empresa Unipersonal,G
Empresa Unipersonal,R
Empresa Unipersonal,N
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,Q
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,L
Empresa Unipersonal,H
Empresa Unipersonal,N
Empresa Unipersonal,P
Empresa Unipersonal,P
Asociacion,A
Empresa Unipersonal,S
Sociedad Responsabilidad,A
Empresa Unipersonal,C
Empresa Unipersonal,S
Sociedad Anonima,A
Empresa Unipersonal,N
Sucesores De,A
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,M
Empresa Unipersonal,F
Empresa Unipersonal,L
Empresa Unipersonal,L
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,P
Empresa Unipersonal,C
Empresa Unipersonal,R
Empresa Unipersonal,F
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,H
Empresa Unipersonal,H
Empresa Unipersonal,L
Empresa Unipersonal,I
Sociedad Anonima,A
Empresa Unipersonal,M
Empresa Unipersonal,N
Sociedad Responsabilidad,A
Empresa Unipersonal,N
Empresa Unipersonal,G
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,Q
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,M
Empresa Unipersonal,F
Empresa Unipersonal,I
Empresa Unipersonal,G
Sociedad Anonima,A
Empresa Unipersonal,G
Empresa Unipersonal,Q
Empresa Unipersonal,M
Empresa Unipersonal,N
Empresa Unipersonal,H
Empresa Unipersonal,C
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,F
Empresa Unipersonal,C
Empresa Unipersonal,L
Empresa Unipersonal,I
Sociedad De Hecho,A
Empresa Unipersonal,F
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,R
Empresa Unipersonal,M
Empresa Unipersonal,Q
Empresa Unipersonal,G
Empresa Unipersonal,P
Empresa Unipersonal,M
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,M
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,N
Empresa Unipersonal,H
Empresa Unipersonal,M
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,H
Empresa Unipersonal,Q
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,C
Empresa Unipersonal,S
Empresa Unipersonal,H
Empresa Unipersonal,G
Empresa Unipersonal,I
Empresa Unipersonal,C
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,S
Empresa Unipersonal,S
Empresa Unipersonal,G
Empresa Unipersonal,F
Empresa Unipersonal,N
Empresa Unipersonal,S
Empresa Unipersonal,P
Empresa Unipersonal,G
Empresa Unipersonal,G
Empresa Unipersonal,I
Empresa Unipersonal,M
Empresa Unipersonal,H
Empresa Unipersonal,F
Empresa Unipersonal,G
Empresa Unipersonal,H
Asociacion,A
Sociedad De Hecho,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
Sociedad Anonima,A
Sociedad Responsabilidad,A
