departamento,monotributo,monotributo_social_mides,no_tributa,otra_forma_de_tributacion,pequena_empresa_iva_minimo,regimen_general_iva_irae_e_ip,servicios_personales_iva_irpf_o_irae,na,no_tributa_total_empresas,regimen_general_total_empresas,poblacion_total,empresas_cada_1000_habitantes
Artigas,1022,74,8359,1337,695,713,247,20799,67.15674459709166,5.7282879408692855,73378,22.55444411131402
Canelones,10154,53,46587,634,7141,4182,7333,191641,61.23100783344724,5.496556437621576,520187,35.86402582148343
Cerro Largo,1513,0,11156,263,971,230,215,22993,77.7529969333705,1.6030108725954835,84698,16.718222390139083
Colonia,1810,54,8556,164,5279,1547,1142,43759,46.11901681759379,8.338723587753343,123203,64.67374982752044
Durazno,962,0,5246,0,1009,1578,336,17281,57.452633884569046,17.28178731792794,57088,51.20165358744394
Flores,856,0,1924,0,402,645,157,9411,48.29317269076305,16.189759036144576,25050,48.063872255489024
Florida,1429,0,5326,119,1831,369,1099,23086,52.35427110980046,3.6272485992332646,67048,49.20355566161556
Lavalleja,813,0,4955,910,1340,813,132,19124,55.28282940979583,9.07062367510878,58815,38.850633341834566
Maldonado,2560,0,16571,1070,2822,1763,1386,64142,63.3157572978756,6.736206633042946,164300,36.342057212416314
Montevideo,18463,430,70371,340,15238,17860,24050,541049,47.95232773658962,12.170191888355866,1319108,43.323215384941946
Paysandú,2312,0,8426,242,842,407,739,36189,64.97532387415175,3.1384947563232575,113124,17.573636010042076
Río Negro,1024,54,4728,210,658,445,358,18212,63.23391734652935,5.951584860238063,54765,26.677622569159134
Rivera,669,113,12567,1896,1118,389,220,30349,74.04548668395003,2.2920103700212113,103493,16.687118935580184
Rocha,768,57,6231,135,1034,1716,432,21809,60.06941097078955,16.542948038176032,68088,46.73363882035014
Salto,1778,117,10410,999,1158,758,937,41399,64.43027789812466,4.691464999690536,124878,22.84629798683515
San José,2152,0,8206,0,4372,812,413,39016,51.43215293011595,5.08931369476653,108309,51.676222659243464
Soriano,1296,92,7366,370,1162,954,1352,27728,58.49745870393901,7.576238881829733,82595,41.98801380228827
Tacuarembó,1951,145,9700,1046,606,383,502,26646,67.67599246494105,2.672155166399219,90053,16.556916482515852
Treinta y Tres,402,0,3563,817,597,284,226,15534,60.50263202581083,4.822550517914757,48134,22.998296422487222
Total,51934,1189,250248,10552,48275,35848,41276,1210167,NA,NA,3286314,38.15794838837677
